ID_Clube,Clube,ID_Liga
112260,Fleetwood Town,60
112378,Dalian Pro,2012
112387,Al Ahli,350
112390,Al Fateh,350
112392,Al Raed,350
112393,Al Taawoun,350
112408,Al Wehda,350
112427,WS Wanderers,351
112472,RB Bragantino,1014
112494,Südtirol,32
112499,Feralpisalò,32
112511,Warta Poznań,66
112513,Arouca,308
112540,Shanghai Port,2012
112552,Quevilly Rouen,17
112558,Suwon FC,83
112572,Al Tai,350
112578,Águilas Doradas,1014
112585,Ñublense,1003
112606,Orlando City,39
112658,EA FC ICONS,2118
112670,Talleres,353
112689,Platense,353
112707,Club Magallanes,1014
112713,Sarmiento,353
112716,Cerro Porteño,1003
112744,Dep. Pereira,1003
112809,FC Famalicão,308
112828,New York City FC,39
112883,Al Khaleej,350
112885,Atlanta United,39
112893,Inter Miami CF,39
112908,Independiente DV,1003
112914,Metropolitanos,1003
112965,Central Córdoba,353
112979,Nantong Zhiyun FC,2012
112985,Cangzhou FC,2012
112996,LAFC,39
113018,St. Louis CITY SC,39
113029,UCV,1014
113037,Al Riyadh,350
113040,NorthEast United,2149
113044,Barracas Central,353
113057,Al Fayha,350
113058,Abha Club,350
113060,Al Okhdood,350
113142,Alanyaspor,68
113146,ATK Mohun Bagan,2149
113149,FC Cincinnati,39
113182,FC Voluntari,330
113217,Damac FC,350
113222,Al Hazem,350
113257,Odisha FC,2149
113297,Chennaiyin FC,2149
113298,FC Goa,2149
113299,Kerala Blasters,2149
113300,Mumbai City FC,2149
113301,Hyderabad FC,2149
113302,Bengaluru FC,2149
113356,SD Amorebieta,54
113378,Sepsi OSK,330
113458,IK Sirius,56
113742,US Concarneau,17
113743,Varbergs BoIS,56
113892,Degerfors IF,56
113926,Salford City,61
113973,Brisigonza,32
113974,Spezia,32
114004,Stal Mielec,66
114023,Western United,351
114147,FC Hermannstadt,330
114161,Austin FC,39
114162,Nashville SC,39
114168,Jamshedpur FC,2149
114326,Raków,66
114385,CFR 1907 Cluj,330
114393,Puszcza,66
114510,Casa Pia AC,308
114554,FC Andorra,54
114580,Delfín S.C.,1014
114582,Binacional,1014
114600,Guabirá,1014
114604,Macarthur FC,351
114605,Heroes,0
114611,Puerto Cabello,1014
114628,Meizhou Hakka,2012
114640,Charlotte FC,39
114912,Roma FC,31
115201,Stade-Lausanne,189
115202,Punjab FC,2149
115358,Palmaflor,1014
115716,FCU 1948,330
115841,Latium,31
115845,Bergamo Calcio,31
115995,FC Bayern München,2215
115996,Leverkusen,2215
115997,Frankfurt,2215
115998,VfL Wolfsburg,2215
115999,TSG Hoffenheim,2215
116001,SGS Essen,2215
116002,SC Freiburg,2215
116003,1. FC Köln,2215
116004,SV Werder Bremen,2215
116007,Gral. Caballero,1014
116009,Arsenal,2216
116010,Chelsea,2216
116011,Spurs,2216
116012,Manchester Utd,2216
116013,Brighton,2216
116014,West Ham,2216
116015,Aston Villa,2216
116016,Everton,2216
116017,Manchester City,2216
116020,Leicester City,2216
116021,RB Leipzig,2215
116033,OL,2218
116034,Paris SG,2218
116035,Paris FC,2218
116036,FC Fleury 91,2218
116037,Montpellier,2218
116038,Bordeaux,2218
116039,Dijon FCO,2218
116040,Stade de Reims,2218
116042,En Avant Guingamp,2218
116044,AS Saint Étienne,2218
116280,Juventus,2236
116295,S. Ameliano,1014
116300,OL Reign,2221
116302,Portland Thorns,2221
116303,NC Courage,2221
116304,Washington Spirit,2221
116305,Chicago Red Stars,2221
116306,Houston Dash,2221
116307,Orlando Pride,2221
116308,Rac. Louisville,2221
116309,KC Current,2221
116310,NJ/NY Gotham,2221
116311,Angel City FC,2221
116312,San Diego Wave,2221
116325,FC Barcelona,2222
116326,Real Madrid CF,2222
116327,Atlético de Madrid,2222
116328,Athletic Club,2222
116330,Real Betis,2222
116331,SD Eibar,2222
116332,UDG Tenerife,2222
116333,Levante UD,2222
116334,Madrid CFF,2222
116336,Real Sociedad,2222
116337,Sevilla FC,2222
116338,Sporting Huelva,2222
116339,Valencia CF,2222
116340,Villarreal CF,2222
116343,Liverpool,2216
116360,Rongcheng FC,2012
116361,Wuhan 3 Towns,2012
116365,Napoli FC,31
116416,Havre AC,2218
131106,MSV Duisburg,2215
131110,CD Eldense,54
131125,Levante LP,2222
131173,Qingdao Hainiu,2012
131219,LOSC Lille,2218
131283,Bristol City,2216
131358,SL Benfica,2228
131359,Ajax,2229
131360,Slavia Praha,2230
131361,FC Zürich,2231
131362,FC Rosengård,2232
131363,Glasgow City FC,2233
131386,1. FC Nürnberg,2215
131389,Pendikspor,68
131391,Granada CF,2222
131447,AC Beauruelle,17
